home_tract,work_tract,flow_jobs
31001965400,31055000200,1
31001965400,31055000400,4
31001965400,31055001800,1
31001965400,31055002200,1
31001965400,31055002900,2
31001965400,31055003100,2
31001965400,31055004000,1
31001965400,31055004400,3
31001965400,31055006202,1
31001965400,31055006505,1
31001965400,31055006506,1
31001965400,31055006701,1
31001965400,31055006703,2
31001965400,31055006704,1
31001965400,31055006803,3
31001965400,31055006805,1
31001965400,31055006806,1
31001965400,31055006905,1
31001965400,31055007001,3
31001965400,31055007003,3
31001965400,31055007312,1
31001965400,31055007320,1
31001965400,31055007407,1
31001965400,31055007409,8
31001965400,31055007449,2
31001965400,31055007454,1
31001965400,31055007457,1
31001965400,31055007459,1
31001965400,31055007464,1
31001965400,31055007467,3
31001965400,31055007471,2
31001965400,31055007506,1
31001965400,31055007509,1
31001965400,31055007514,1
31001965400,31055007518,1
31001965400,31055007521,2
31001965500,31055001800,4
31001965500,31055002500,1
31001965500,31055002900,1
31001965500,31055004200,1
31001965500,31055004300,1
31001965500,31055006302,1
31001965500,31055006504,1
31001965500,31055006701,5
31001965500,31055006704,2
31001965500,31055006803,1
31001965500,31055006805,1
31001965500,31055006806,1
31001965500,31055007003,2
31001965500,31055007101,2
31001965500,31055007407,1
31001965500,31055007409,12
31001965500,31055007440,1
31001965500,31055007445,4
31001965500,31055007449,2
31001965500,31055007451,1
31001965500,31055007452,2
31001965500,31055007460,1
31001965500,31055007462,1
31001965500,31055007474,2
31001965500,31055007505,1
31001965500,31055007506,2
31001965500,31055007509,1
31001965600,31055000400,2
31001965600,31055001600,4
31001965600,31055001800,5
31001965600,31055003100,1
31001965600,31055003500,1
31001965600,31055003800,1
31001965600,31055003900,1
31001965600,31055004000,2
31001965600,31055004300,1
31001965600,31055004400,2
31001965600,31055005600,2
31001965600,31055006505,1
31001965600,31055006605,1
31001965600,31055006701,1
31001965600,31055006703,1
31001965600,31055006704,1
31001965600,31055006803,1
31001965600,31055006806,1
31001965600,31055006906,1
31001965600,31055007001,1
31001965600,31055007003,2
31001965600,31055007101,1
31001965600,31055007312,1
31001965600,31055007320,1
31001965600,31055007409,12
31001965600,31055007436,2
31001965600,31055007439,1
31001965600,31055007440,1
31001965600,31055007441,1
31001965600,31055007443,2
31001965600,31055007445,6
31001965600,31055007449,1
31001965600,31055007451,1
31001965600,31055007452,2
31001965600,31055007453,2
31001965600,31055007457,2
31001965600,31055007464,1
31001965600,31055007471,1
31001965600,31055007474,1
